"emb_type","association","word_type","model","correlation"
"ft","feminine","company","0",0.157446792362825
"ft","feminine","company","2-5",0.399094610395164
"ft","feminine","fnames","0",0.763432171175871
"ft","feminine","fnames","2-5",0.837389056024256
"ft","feminine","nonword","0",0.103479143435228
"ft","feminine","nonword","2-5",0.397191008353963
"ft","good","company","0",0.229527229748539
"ft","good","company","2-5",0.252305523507156
"ft","good","fnames","0",0.359033821903901
"ft","good","fnames","2-5",0.458849523415699
"ft","good","nonword","0",0.189209929621963
"ft","good","nonword","2-5",0.219738684855132
"ft","smart","company","0",0.0490091411055261
"ft","smart","company","2-5",0.183224893935565
"ft","smart","fnames","0",0.330410231324426
"ft","smart","fnames","2-5",0.161415473759912
"ft","smart","nonword","0",0.164512443263671
"ft","smart","nonword","2-5",0.196270964157868
"ft","trustworthy","company","0",-0.0302951250086799
"ft","trustworthy","company","2-5",0.243497717754549
"ft","trustworthy","fnames","0",0.334345684744089
"ft","trustworthy","fnames","2-5",0.284253710951797
"ft","trustworthy","nonword","0",0.0797345833786575
"ft","trustworthy","nonword","2-5",0.225566441191271
