association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,pkfth,0,0.010311961,-0.017919898,-0.0065611918,0.028312430230308928
feminine,pkfth,1,-0.02720815,-0.0047982633,0.0056707407,0.02798075321663482
feminine,pkfth,2,0.013643056,0.024280757,0.02364812,0.042544152767078826
feminine,pkfth,3,0.020707697,0.022753328,0.0052813003,0.04145928817551814
feminine,pkfth,4,0.029520541,-0.009421974,0.007468617,0.04765450277017832
feminine,pkfth,5,0.006991565,0.00022381544,0.007950447,0.05488946567202075
feminine,pkfth,6,0.018776655,0.018124104,0.016823027,0.0386927148750756
feminine,pkfth,7,0.012649894,0.023513436,0.016575707,0.03176868156536055
feminine,pkfth,8,0.024030387,0.0070501566,0.0107344,0.03447741875426941
feminine,pkfth,9,0.045215786,0.009763122,0.008426965,0.04183828628671361
feminine,pkfth,10,0.018074274,0.008628845,-0.00089162635,0.036995743585133106
feminine,pkfth,11,0.0021229386,0.0087016225,-3.6901474e-05,0.02206383766822144
feminine,niwourg,0,0.015707642,-0.011239916,0.0077350577,0.07249048406945173
feminine,niwourg,1,-0.022607923,-0.031777143,-0.009142017,0.04967567385957159
feminine,niwourg,2,-0.008823276,-0.008586466,-0.0028658884,0.030335776494824725
feminine,niwourg,3,-0.008898526,-0.013010204,-0.011585622,0.042405898864553135
feminine,niwourg,4,0.022351593,-0.011603773,0.010578441,0.04115087626257242
feminine,niwourg,5,0.008672833,0.008129239,0.026840044,0.05272232244653984
feminine,niwourg,6,0.0144177675,0.016884208,0.022383895,0.040032934382797945
feminine,niwourg,7,0.008793235,0.019606292,0.02167192,0.035394071146461904
feminine,niwourg,8,0.012552917,0.014487386,0.014283465,0.0338805940683306
feminine,niwourg,9,0.032203317,0.017153919,0.015145522,0.03693791670794149
feminine,niwourg,10,0.0054602623,0.015182674,0.004017624,0.034832525244124585
feminine,niwourg,11,-0.0027506351,0.0103773475,0.0035644034,0.020513933125573616
feminine,milberch,0,0.022504508,0.014214486,0.013071236,0.06772468404621389
feminine,milberch,1,-0.01772371,0.0108424425,0.00043923652,0.04921520349047265
feminine,milberch,2,0.009821713,0.023205757,0.010145427,0.04243810366320942
feminine,milberch,3,0.049132854,0.030107856,0.0050911317,0.05326892434043198
feminine,milberch,4,0.050368458,0.010537326,0.0045911204,0.06106481785057538
feminine,milberch,5,0.040169716,0.030477345,0.018674012,0.06918115195884206
feminine,milberch,6,0.025170922,0.03459853,0.018381964,0.05281956511491912
feminine,milberch,7,0.015266895,0.031503737,0.01512318,0.04548055821149245
feminine,milberch,8,0.016244471,0.017912269,0.0076038484,0.043998740090222054
feminine,milberch,9,0.03375697,0.021766543,0.006963958,0.048249195821482974
feminine,milberch,10,0.014459252,0.016585767,0.00019131637,0.040974053818827544
feminine,milberch,11,-0.0043315887,0.009611607,0.0002549455,0.023517763024385723
feminine,adazine,0,0.012297958,-0.0099416375,0.006688708,0.040013454843050675
feminine,adazine,1,0.0027802587,-0.004511982,-0.0029571943,0.02775374285309576
feminine,adazine,2,0.030676365,0.0067706704,0.017714497,0.04467310907571322
feminine,adazine,3,0.0670366,0.007914484,0.021048859,0.05070089208552965
feminine,adazine,4,0.05251056,0.023286432,0.026313309,0.05127158387934382
feminine,adazine,5,0.04171884,0.037200868,0.026770823,0.04546770172041384
feminine,adazine,6,0.023791194,0.035643697,0.028050782,0.044313772265324916
feminine,adazine,7,0.020679474,0.03752196,0.02481504,0.03295812075861002
feminine,adazine,8,0.012913346,0.024464905,0.016500615,0.02705897042023454
feminine,adazine,9,0.040069997,0.026216209,0.017940639,0.02855958652610012
feminine,adazine,10,0.011047721,0.023609102,0.006852056,0.02999766455409865
feminine,adazine,11,-0.001724124,0.014529347,0.0043830485,0.020071804604799615
feminine,lomee,0,0.03425327,0.0010632277,0.022125285,0.06328984455331324
feminine,lomee,1,-0.010581017,0.006955445,0.01298239,0.04318784807091849
feminine,lomee,2,0.0143149495,0.029651076,0.019202074,0.03508932312977611
feminine,lomee,3,0.061076254,0.033191204,0.018547501,0.049334591166081354
feminine,lomee,4,0.06485489,0.021890342,0.026915753,0.055437450745710146
feminine,lomee,5,0.04504764,0.04499489,0.040751565,0.06703997900842794
feminine,lomee,6,0.040758193,0.040352464,0.039016318,0.050427047463152595
feminine,lomee,7,0.03904915,0.036963344,0.03436583,0.04297429016550212
feminine,lomee,8,0.04383695,0.023584485,0.02397967,0.04189200288083385
feminine,lomee,9,0.05268222,0.024971783,0.022531426,0.04950768136411482
feminine,lomee,10,0.019991279,0.024278998,0.012065279,0.04529267670840344
feminine,lomee,11,0.0021466017,0.012219787,0.007854999,0.02856890733339019
feminine,kniversol,0,0.023670733,-0.014002293,-0.003447344,0.07901834301783772
feminine,kniversol,1,-0.012529969,0.02132976,-0.006885511,0.05541983364955248
feminine,kniversol,2,0.035656035,0.02961886,0.012792351,0.056054637739445204
feminine,kniversol,3,0.057163537,0.040015936,0.008222775,0.05739464251933836
feminine,kniversol,4,0.059677094,0.026055664,0.017104242,0.06399989077975035
feminine,kniversol,5,0.046406686,0.03431052,0.024904408,0.07022305269495999
feminine,kniversol,6,0.038819253,0.04100561,0.030722016,0.055733557870509196
feminine,kniversol,7,0.03293103,0.039678574,0.027281923,0.053116436489001065
feminine,kniversol,8,0.019252658,0.018928885,0.013509018,0.05307238915377488
feminine,kniversol,9,0.03748399,0.02390194,0.012823413,0.05737967554312036
feminine,kniversol,10,-0.00035732985,0.021293998,0.003260668,0.05002661886797339
feminine,kniversol,11,-0.01118958,0.011739433,0.0012964811,0.030061846630514234
feminine,brins,0,-0.0031623244,0.021084115,0.012089656,0.051100634350240606
feminine,brins,1,0.0063218176,0.050937414,0.019823326,0.05485136524336662
feminine,brins,2,0.031600744,0.055950195,0.025193756,0.04399682310946537
feminine,brins,3,0.06481138,0.06527415,0.024846423,0.05039595965676392
feminine,brins,4,0.053084552,0.058776736,0.02809041,0.06078981490270737
feminine,brins,5,0.0627318,0.064067304,0.035641223,0.06047243687691123
feminine,brins,6,0.021184623,0.054872394,0.029288145,0.044965764042676916
feminine,brins,7,0.016609311,0.05639857,0.02733221,0.04674369332334584
feminine,brins,8,-0.0019245148,0.033260822,0.013163774,0.04585867031537289
