association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,pkfth,0,0.0,0.0,0.0,0.0
feminine,pkfth,2,-0.006969571,0.0036934912,0.009937146,0.08214940349429913
feminine,pkfth,2-3,-0.08472143,0.037259102,-0.0027346227,0.05816830715334364
feminine,pkfth,2-5,-0.06519809,0.029487789,-0.027161319,0.04923262419503743
feminine,niwourg,0,0.0,0.0,0.0,0.0
feminine,niwourg,2,-0.045718342,0.0053655803,0.022871932,0.056331818319999755
feminine,niwourg,2-3,-0.008592933,-0.017258435,-0.009713893,0.05974059507974665
feminine,niwourg,2-5,-0.027222633,-0.009354681,-0.008353901,0.05994404553295397
feminine,milberch,0,0.0,0.0,0.0,0.0
feminine,milberch,2,-0.041611016,-0.04716608,-0.037938643,0.05617321082782991
feminine,milberch,2-3,-0.043811202,-0.032144606,-0.0225877,0.04292883563433063
feminine,milberch,2-5,-0.016955346,0.006095648,-0.01711296,0.06962297021031898
feminine,adazine,0,0.0,0.0,0.0,0.0
feminine,adazine,2,-0.029166102,0.0068121552,0.005891575,0.03903856139999858
feminine,adazine,2-3,-0.052184492,0.028707594,0.0054619582,0.06621114033130647
feminine,adazine,2-5,-0.024305135,0.0218146,0.014877387,0.06092720594328299
feminine,lomee,0,0.0,0.0,0.0,0.0
feminine,lomee,2,-0.0075753927,-0.0045226514,-0.00020734454,0.042749883805379876
feminine,lomee,2-3,-0.029778391,-0.018915445,-0.034189213,0.05360740740619475
feminine,lomee,2-5,0.05694917,0.03990075,0.03972336,0.030413723661645443
feminine,kniversol,0,0.0,0.0,0.0,0.0
feminine,kniversol,2,-0.035437495,0.0150461495,-0.021450605,0.06696515983907927
feminine,kniversol,2-3,-0.015184164,0.008935571,-0.02000165,0.06410575952917813
feminine,kniversol,2-5,-0.015742242,-0.020606756,-0.041291624,0.05242167142353808
feminine,brins,0,0.009991169,0.002533853,0.008738758,0.04187917750341631
feminine,brins,2,0.020384371,-0.00891313,0.0044220993,0.05057925158027614
feminine,brins,2-3,-0.020321578,-0.007672757,-0.01799688,0.052272515879744755
feminine,brins,2-5,-0.0028172135,-0.01878637,-0.030236406,0.07295911446060513
feminine,aribizznika,0,0.0,0.0,0.0,0.0
feminine,aribizznika,2,0.009477496,0.046458125,0.022592075,0.05066688203282239
feminine,aribizznika,2-3,0.044609576,0.061673373,0.04343423,0.03371754268304658
feminine,aribizznika,2-5,0.062264472,0.092315614,0.057196174,0.034468643627646754
feminine,stale,0,-0.04854189,-0.020884514,-0.037594475,0.06372810554623816
feminine,stale,2,-0.032910645,-0.007457614,-0.0147381285,0.04473528516661597
feminine,stale,2-3,-0.054510623,-0.014034957,-0.01835546,0.06672968357202379
feminine,stale,2-5,-0.018633008,0.010277331,-0.016486516,0.05152998345101329
feminine,midewi,0,0.0,0.0,0.0,0.0
feminine,midewi,2,0.009192646,-0.009608388,-0.010480523,0.053915032676825334
feminine,midewi,2-3,-0.03926289,-0.005127847,-0.019205747,0.07225836575622452
feminine,midewi,2-5,0.01534912,0.05246824,0.013971886,0.04005239136905635
feminine,legiskens,0,0.0,0.0,0.0,0.0
feminine,legiskens,2,0.0062772334,0.032636553,-0.0056097033,0.06957757510317672
feminine,legiskens,2-3,0.012936503,-0.017897248,-0.024370125,0.04583267817426363
feminine,legiskens,2-5,0.031546146,-0.046598524,-0.030546214,0.05261876537899577
feminine,patalow,0,0.0,0.0,0.0,0.0
feminine,patalow,2,-0.019773006,0.038384438,-0.009014016,0.07281249522651198
feminine,patalow,2-3,-0.040156186,0.041851312,-0.007365665,0.053558690866105874
feminine,patalow,2-5,-0.013888061,0.002149105,-0.005091365,0.05517663364258359
feminine,bertingermas,0,0.0,0.0,0.0,0.0
feminine,bertingermas,2,-0.010064453,0.000916481,-0.035443988,0.10742321013574584
feminine,bertingermas,2-3,-0.04936546,-0.010694951,-0.039079055,0.05892187669516809
feminine,bertingermas,2-5,-0.05722487,0.011450559,-0.009965612,0.060263692518622326
feminine,tossi,0,0.01980853,-0.00468719,-0.007018788,0.043524987685572517
feminine,tossi,2,-0.005016923,-0.03442648,-0.017084425,0.04037672082757323
feminine,tossi,2-3,-0.02739428,-0.015299231,-0.018960606,0.05582194566506523
feminine,tossi,2-5,-0.002292633,-0.024767458,-0.023544502,0.04250580207667647
feminine,chaagulet,0,0.0,0.0,0.0,0.0
feminine,chaagulet,2,-0.02648583,0.01227814,-0.024111561,0.07159194552367501
