association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,abdelkhalek,0,0.005295515,-0.01688774,-0.0016180663,0.06551273612352146
feminine,abdelkhalek,1,-0.046034366,-0.00021636486,0.009642318,0.046239269713799644
feminine,abdelkhalek,2,-0.0026930273,0.013512164,0.010654327,0.03998407798580749
feminine,abdelkhalek,3,0.02879697,0.023805827,0.0055130906,0.05673451288023184
feminine,abdelkhalek,4,0.0009249449,0.0049535036,0.0028452387,0.05651990794133346
feminine,abdelkhalek,5,-0.017222166,0.02391857,0.010009516,0.06856142225631183
feminine,abdelkhalek,6,0.0035189986,0.029098392,0.016544646,0.04864757057307003
feminine,abdelkhalek,7,0.004897237,0.028475344,0.017852163,0.04459852743538339
feminine,abdelkhalek,8,0.018233359,0.013005853,0.010815959,0.04787192349393779
feminine,abdelkhalek,9,0.02445668,0.013171077,0.008861974,0.055976860916742484
feminine,abdelkhalek,10,-0.0074297786,0.014056444,-0.00078471925,0.04971063840627133
feminine,abdelkhalek,11,-0.016493201,0.011246145,0.00015003752,0.031057324462471666
feminine,adolf,0,-0.008019075,0.004852921,0.011358076,0.03396406964719091
feminine,adolf,1,-0.030601174,-0.0318605,-0.0068516065,0.04024551102078362
feminine,adolf,2,0.00844124,-0.024165094,0.005673243,0.04861419064601116
feminine,adolf,3,0.02758035,-2.9027462e-05,-0.00013972497,0.04793148518900809
feminine,adolf,4,0.018040717,0.010486126,0.002076528,0.059841194792371565
feminine,adolf,5,0.011259496,0.025122523,0.0138037065,0.050588687431676334
feminine,adolf,6,0.010654032,0.02458018,0.018332824,0.038564474045937866
feminine,adolf,7,0.007003665,0.025428355,0.014824225,0.03701647624739446
feminine,adolf,8,0.0008110404,0.0128468275,0.0067065177,0.0342932296821869
feminine,adolf,9,0.019964814,0.020620406,0.0046309764,0.03716100376417408
feminine,adolf,10,-0.012585878,0.017469466,-0.0056185764,0.033757057702040176
feminine,adolf,11,-0.021366835,0.01154232,-0.002502925,0.02050475824409716
feminine,adrianus,0,-0.0062583983,-0.049774423,-0.01180256,0.041217881449318074
feminine,adrianus,1,-0.020188123,-0.051121682,-0.014234637,0.041338178792246924
feminine,adrianus,2,-0.018148392,-0.03417918,-0.015883625,0.03643319563281584
feminine,adrianus,3,-0.008423477,-0.013135374,-0.017916102,0.04983560453349433
feminine,adrianus,4,0.0022715926,-0.0015162826,-0.0065104836,0.056703183550947646
feminine,adrianus,5,-0.0041332245,0.013751209,0.0025938363,0.05892103699237683
