association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,abdelkhalek,0,0.0011091828,-0.016940027,-0.026635516,0.06527536968633668
feminine,abdelkhalek,2,0.012176156,-0.0055757463,-0.006492149,0.07935281281529837
feminine,abdelkhalek,2-3,0.020093799,-0.03497851,-0.012945191,0.05706437656086578
feminine,abdelkhalek,2-5,0.008917779,-0.048725516,-0.023964966,0.07881619642473367
feminine,adolf,0,-0.035918638,-0.05672556,-0.059227612,0.12626755543967796
feminine,adolf,2,-0.09893608,-0.06388411,-0.061336856,0.08600076059314204
feminine,adolf,2-3,-0.053988874,-0.06291273,-0.046513923,0.07772591703014432
feminine,adolf,2-5,-0.04264711,-0.07365736,-0.06244531,0.10390385664427838
feminine,adrianus,0,-0.026665673,-0.08320701,-0.033706933,0.1396980797624915
feminine,adrianus,2,-0.046984404,-0.06928021,-0.040657677,0.11410204139956356
feminine,adrianus,2-3,-0.04455495,-0.061029166,-0.035023276,0.0964015514474617
feminine,adrianus,2-5,-0.03237596,-0.07876393,-0.045122452,0.11742087015418722
feminine,alexandro,0,0.014284432,-0.028476685,-0.018032111,0.07672198651007235
feminine,alexandro,2,-0.009995103,0.024203181,-0.01391332,0.05863656228341753
feminine,alexandro,2-3,-0.032705545,0.0071995556,-0.0039440617,0.057967476917564265
feminine,alexandro,2-5,0.011688888,-0.037505895,-0.006437579,0.0676491972769044
feminine,alparslan,0,0.003025502,-0.037268937,-0.042935528,0.06916809586954761
feminine,alparslan,2,-0.045277894,0.0017775595,-0.034298453,0.06470817617870962
feminine,alparslan,2-3,-0.0636435,0.006025821,-0.039163318,0.06721778370106384
feminine,alparslan,2-5,-0.008428156,-0.015367478,-0.020427076,0.07968468953300228
feminine,ananda,0,0.08996987,-0.014742672,0.03235475,0.04985098930481308
feminine,ananda,2,0.02810803,0.058214158,0.043020006,0.04783934077062865
feminine,ananda,2-3,-0.028213859,0.033201575,0.0065354058,0.052108239636212916
feminine,ananda,2-5,0.055303127,0.01131469,0.039397035,0.0441930055507604
feminine,angelien,0,0.03589058,0.057135552,0.020729527,0.10281411021139857
feminine,angelien,2,0.00548923,0.021196306,-0.021883223,0.06274158383514733
feminine,angelien,2-3,-0.005384505,0.033451617,-0.006144559,0.05345082153223339
feminine,angelien,2-5,0.061752588,0.051994175,0.038984265,0.046738684652893464
feminine,anica,0,0.055565447,0.0380193,0.023890361,0.07739757196819005
feminine,anica,2,-0.017911524,0.04730603,0.021982275,0.05130487994536532
feminine,anica,2-3,-0.0025347471,0.050228864,0.028298916,0.06344540638347736
feminine,anica,2-5,0.017719358,0.07404572,0.04511575,0.05385497892620047
feminine,anne,0,0.1058318,0.058032572,0.06241564,0.12473545168828047
feminine,anne,2,0.03464189,0.063137144,0.039877914,0.06307781864041781
feminine,anne,2-3,0.024100661,0.08354372,0.050307464,0.06461980969533891
feminine,anne,2-5,0.08554429,0.072065234,0.061623186,0.08124866025993879
feminine,annegreet,0,0.061353102,0.020885676,0.03723269,0.07319924367163956
feminine,annegreet,2,-0.027906865,0.019202381,-0.01555815,0.0631075661079591
feminine,annegreet,2-3,-0.07047385,0.025534749,-0.0023556815,0.04968681364590061
feminine,annegreet,2-5,0.06479931,0.0629963,0.055462204,0.059945453514620335
feminine,annemarije,0,0.022744656,0.013958156,0.0058841864,0.0783340904550326
feminine,annemarije,2,-0.003901571,0.05201602,0.005919036,0.06642335783551266
feminine,annemarije,2-3,-0.01206556,0.061143965,0.018876385,0.04281436755986789
feminine,annemarije,2-5,0.028617546,0.054791152,0.029579299,0.0774727805900278
feminine,anno,0,-0.0074495375,-0.0047934055,-0.025734534,0.07737517236353761
feminine,anno,2,-0.021634877,-0.0036658645,-0.029206203,0.05781012293400703
feminine,anno,2-3,-0.037596375,-0.02786529,-0.035995048,0.05261235336690894
feminine,anno,2-5,-0.0022020638,-0.00799337,-0.029705161,0.05537006261158114
feminine,annouk,0,0.03971407,0.037430048,0.027046997,0.03761372439614362
feminine,annouk,2,-0.04116997,-0.022723228,-0.0049798833,0.07067254390395779
feminine,annouk,2-3,0.017310202,0.013391405,0.011216605,0.05932436850047814
feminine,annouk,2-5,0.042469144,0.046055436,0.0284591,0.06943676226397398
feminine,ashwien,0,0.02016887,-0.004999995,-0.014541125,0.047157467192348125
feminine,ashwien,2,-0.027383447,0.008705676,0.0029939269,0.0584723227670622
feminine,ashwien,2-3,-0.020548463,-0.0033541322,0.006471916,0.06041263303603445
feminine,ashwien,2-5,0.0075965524,-0.004627049,0.005850787,0.03650018122441066
feminine,ayleen,0,0.030854344,0.04787886,0.0395946,0.08050187156075786
feminine,ayleen,2,-0.0039954484,0.0113348365,0.010611766,0.03921194101019702
feminine,ayleen,2-3,-0.011034936,0.033807486,-0.00016017341,0.06777117942544224
feminine,ayleen,2-5,0.020238817,0.04758042,0.021105401,0.07479921898636517
feminine,bailey,0,-0.01718536,0.049571544,-0.0032192564,0.0634140587233697
