association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,zieven,0,-0.0038164407,-0.00090019405,-0.017576318,0.047047246429658365
feminine,zieven,1,-0.0051102936,0.022402227,-0.007904448,0.05434183525106305
feminine,zieven,2,0.028253347,0.030044258,0.010005586,0.04328327858040698
feminine,zieven,3,0.09249389,0.034752697,0.028629301,0.046088706969128077
feminine,zieven,4,0.100717485,0.028211594,0.024822086,0.048953783945402736
feminine,zieven,5,0.112342596,0.04256475,0.040317424,0.04504377473628303
feminine,zieven,6,0.07132059,0.042388916,0.03486845,0.03395342870287673
feminine,zieven,7,0.06504536,0.03838104,0.032894798,0.027196971302734227
feminine,zieven,8,0.07083458,0.019234419,0.024621975,0.023455492454752272
feminine,zieven,9,0.09266925,0.021201193,0.025474785,0.029288876951758865
feminine,zieven,10,0.072497666,0.01569587,0.016837832,0.02798782005848485
feminine,zieven,11,0.029069602,0.009195864,0.010030022,0.01774414131781787
feminine,gopille,0,-0.022831753,-0.014389038,0.009439948,0.07593316797764772
feminine,gopille,1,-0.051328212,-0.014117122,0.0027476388,0.05294747476016858
feminine,gopille,2,-0.00096577406,-0.004648268,0.010245821,0.04160536398331393
feminine,gopille,3,0.03957483,0.008628458,0.010128492,0.04108808282113714
feminine,gopille,4,0.030012429,0.0014422536,0.012210256,0.06210230046293432
feminine,gopille,5,0.018434048,0.019330919,0.018625254,0.07530026419061786
feminine,gopille,6,0.01835227,0.022455394,0.021197023,0.05988525948623009
feminine,gopille,7,0.011441052,0.023246765,0.020347035,0.05427549124634978
feminine,gopille,8,0.015811563,0.011807859,0.012210223,0.05286511136521024
feminine,gopille,9,0.03841412,0.013641775,0.01266713,0.057048200593335104
feminine,gopille,10,0.014079869,0.015353501,0.0047198962,0.04655203723325458
feminine,gopille,11,-0.00043475628,0.008630037,0.0033275892,0.024880375007267492
feminine,tarrenbeude,0,0.023157671,0.04425949,0.002492209,0.08854904973812867
feminine,tarrenbeude,1,0.015888825,0.04069239,0.0013567342,0.07136066968665085
feminine,tarrenbeude,2,0.064477295,0.03956473,0.013169601,0.05960802736983832
feminine,tarrenbeude,3,0.08924386,0.04092428,0.014377642,0.06492367839488987
feminine,tarrenbeude,4,0.058326036,0.043513358,0.020847585,0.07234834434491416
feminine,tarrenbeude,5,0.057505548,0.067219675,0.041126586,0.0832051847767072
feminine,tarrenbeude,6,0.03762853,0.05216497,0.032541934,0.06133682658489242
feminine,tarrenbeude,7,0.03717947,0.052554786,0.029741827,0.05463182646795627
feminine,tarrenbeude,8,0.03733653,0.03424728,0.01995393,0.050786008978642196
feminine,tarrenbeude,9,0.054004967,0.034151375,0.018575957,0.0602551805587131
feminine,tarrenbeude,10,0.021321714,0.032865107,0.006821578,0.05462972109162702
feminine,tarrenbeude,11,-0.0006952286,0.017015815,0.003653013,0.033848988308149544
feminine,toddelen,0,-0.007472411,-0.0019493848,-0.0006983999,0.06652716539412895
feminine,toddelen,1,-0.035758376,0.008126497,0.0077982717,0.043323089424181956
feminine,toddelen,2,0.012137592,0.02581364,0.02092349,0.03503849089410357
feminine,toddelen,3,0.041564733,0.023765266,0.020200929,0.027763397099372675
feminine,toddelen,4,0.019008607,0.014373988,0.01596252,0.04221203827715591
feminine,toddelen,5,0.01077956,0.034317374,0.022731038,0.05623964696220691
