association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,zieven,0,0.0,0.0,0.0,0.0
feminine,zieven,2,-0.0036821365,-0.02022463,-0.021983355,0.0691988557014126
feminine,zieven,2-3,-0.012629867,-0.00069510937,-0.017129766,0.07336240756578581
feminine,zieven,2-5,-0.0051475167,-0.0115177035,-0.030371826,0.04069684100013068
feminine,gopille,0,0.0,0.0,0.0,0.0
feminine,gopille,2,0.005389899,-0.003961146,-0.022487098,0.048435896031679346
feminine,gopille,2-3,-0.026107818,0.025618285,0.012973571,0.06636321201845151
feminine,gopille,2-5,-0.029367208,0.0031594932,-0.007312988,0.043031884541262055
feminine,tarrenbeude,0,0.0,0.0,0.0,0.0
feminine,tarrenbeude,2,-0.033362836,0.018179446,-0.043232527,0.07643271681143661
feminine,tarrenbeude,2-3,0.0016490519,0.019777745,-0.024535906,0.02706268195949803
feminine,tarrenbeude,2-5,-0.07211648,-0.03499405,-0.036152013,0.05795801711460405
feminine,toddelen,0,0.0,0.0,0.0,0.0
feminine,toddelen,2,-0.0064683557,-0.017920017,-0.039343398,0.07359977532482387
feminine,toddelen,2-3,-0.006786585,-0.0065117776,-0.0480495,0.051739471262735634
feminine,toddelen,2-5,-0.014680296,-0.00730291,-0.018620772,0.0758779736808901
feminine,kidstee,0,0.0,0.0,0.0,0.0
feminine,kidstee,2,0.013337672,0.020376682,0.012028357,0.06346209067654467
feminine,kidstee,2-3,0.05073622,0.07968649,0.04212425,0.12652654873072142
feminine,kidstee,2-5,0.008444652,0.034342736,0.007732021,0.1328066586163536
feminine,toerseskoder,0,0.0,0.0,0.0,0.0
feminine,toerseskoder,2,-0.012233496,0.011120915,-0.01915962,0.06004602990894584
feminine,toerseskoder,2-3,-0.029579133,0.02565816,-0.016262172,0.06947976292919562
feminine,toerseskoder,2-5,-0.032660812,-0.021279305,-0.023527281,0.0427317191066654
feminine,leelassing,0,0.0,0.0,0.0,0.0
feminine,leelassing,2,-0.0205307,0.01809752,-0.022548396,0.09438255118008726
feminine,leelassing,2-3,-0.03636861,-0.02327466,-0.032159977,0.0695443379482128
feminine,leelassing,2-5,-0.016313836,-0.035743505,-0.03086418,0.049636533579680224
feminine,ruinpalzend,0,0.0,0.0,0.0,0.0
feminine,ruinpalzend,2,-0.017435879,0.034385383,-0.021943687,0.0912112824149625
feminine,ruinpalzend,2-3,-0.04838088,-0.0016722977,-0.025461549,0.07759520782479314
feminine,ruinpalzend,2-5,-0.053340197,-0.001933217,-0.028730975,0.06402885713732594
feminine,asstuk,0,0.0,0.0,0.0,0.0
feminine,asstuk,2,-0.023242712,-0.041924626,-0.020593654,0.06839845766277441
feminine,asstuk,2-3,-0.013940722,-0.013668209,-0.016373774,0.059202176485520175
feminine,asstuk,2-5,-0.021432787,-0.013622835,-0.03502492,0.060956921982231835
feminine,roeen,0,0.0,0.0,0.0,0.0
feminine,roeen,2,0.020597935,-0.014638364,-0.024529979,0.07229439703918179
feminine,roeen,2-3,-0.015255958,-0.022764355,-0.01788316,0.058184071676846694
feminine,roeen,2-5,-0.00044837594,0.0077169836,-0.016623136,0.08754465302757829
feminine,kleigen,0,0.0,0.0,0.0,0.0
feminine,kleigen,2,0.0045353174,-0.0055181086,-0.024075517,0.07817409284214469
feminine,kleigen,2-3,-0.004963249,0.016024947,-0.018280653,0.05919637924641326
feminine,kleigen,2-5,-0.019509658,-0.041695282,-0.04663227,0.0522241412595152
feminine,versuitegen,0,0.0,0.0,0.0,0.0
feminine,versuitegen,2,-0.01651895,0.011528462,-0.031292148,0.09232798596712374
feminine,versuitegen,2-3,0.019934237,0.0054255426,-0.008266767,0.08487019132130061
feminine,versuitegen,2-5,0.019680083,0.014227152,-0.019089866,0.07329750197526054
feminine,kootplacht,0,0.0,0.0,0.0,0.0
feminine,kootplacht,2,-0.0035607219,0.023868382,-0.02038186,0.07247503007360671
feminine,kootplacht,2-3,0.0034544468,0.013170987,-0.019042008,0.0822558903436513
feminine,kootplacht,2-5,-0.031600147,-0.018137962,-0.039398976,0.0734539340785523
feminine,surks,0,0.0,0.0,0.0,0.0
feminine,surks,2,0.0012855828,0.0113916695,0.011156645,0.06458027897170023
feminine,surks,2-3,0.013857484,-0.0054911375,-0.0070882845,0.04282554284433774
feminine,surks,2-5,-0.035060406,-0.019149661,-0.04242196,0.04733569039618539
feminine,strembalen,0,0.0,0.0,0.0,0.0
feminine,strembalen,2,-0.0061272383,-0.016573459,-0.022824688,0.08884283402816413
feminine,strembalen,2-3,-0.0100899935,-0.026139066,-0.033576854,0.05157713122567552
feminine,strembalen,2-5,-0.04095024,-0.040915564,-0.029884797,0.05474445663791553
feminine,nahoe,0,0.0,0.0,0.0,0.0
feminine,nahoe,2,0.009075254,-0.0030362904,0.014142124,0.06416659896181816
feminine,nahoe,2-3,0.025936931,0.026103437,0.04829256,0.05943426833520527
feminine,nahoe,2-5,-0.014658719,-0.016709656,-0.0009594926,0.03973553327439046
feminine,vernarterlijk,0,0.0,0.0,0.0,0.0
feminine,vernarterlijk,2,-0.034846902,-0.003360033,-0.019067451,0.07073955848543897
feminine,vernarterlijk,2-3,-0.017434895,0.0044056773,-0.026632313,0.04676225384992475
feminine,vernarterlijk,2-5,0.011354387,0.020168751,-0.019518644,0.06786542292444193
feminine,aanropig,0,0.0,0.0,0.0,0.0
feminine,aanropig,2,-0.042394906,0.009053409,-0.035967793,0.06732982819076774
feminine,aanropig,2-3,-0.025958866,-0.0033482313,-0.03369677,0.0895946771579053
feminine,aanropig,2-5,0.0009783804,0.0013786554,-0.001698294,0.0923334580622802
feminine,detelpruttiren,0,0.0,0.0,0.0,0.0
feminine,detelpruttiren,2,0.008824378,0.025227934,-0.02245877,0.10265818443101488
feminine,detelpruttiren,2-3,0.006440133,0.005721599,-0.013416168,0.043515329689551095
feminine,detelpruttiren,2-5,-0.004089594,0.020379603,0.0025982428,0.05157223531905968
feminine,moeter,0,-0.019191414,0.0020388067,-0.016200854,0.06069202099380926
feminine,moeter,2,-0.015072823,0.0021297336,-0.014656289,0.060908928998787304
feminine,moeter,2-3,-0.009281069,0.009724677,0.00037597585,0.09919321790474
feminine,moeter,2-5,-0.037334293,-0.025131375,-0.025002507,0.0820538257005914
feminine,glader,0,-0.0009774566,0.002878189,-0.015378525,0.049693406360539386
feminine,glader,2,-0.06799477,-0.039944857,-0.040385026,0.07173106264976697
feminine,glader,2-3,-0.056860328,0.039500207,0.0044044144,0.07702114673945329
feminine,glader,2-5,-0.005271539,0.017455012,-0.015317139,0.06556423785931058
feminine,omslering,0,0.0,0.0,0.0,0.0
feminine,omslering,2,-0.052533656,0.0068442225,-0.019692106,0.075856300924227
feminine,omslering,2-3,-0.019708186,0.008890033,-0.007052468,0.06779803316217703
feminine,omslering,2-5,0.0211218,0.0038360953,0.0025699853,0.07946257273917615
feminine,vrijkontij,0,0.0,0.0,0.0,0.0
feminine,vrijkontij,2,0.015870214,0.0059176385,0.015454136,0.07345419399763274
feminine,vrijkontij,2-3,0.017965674,-0.018567413,-0.0060546272,0.05954419994238804
feminine,vrijkontij,2-5,0.010849163,0.0126995,0.00446278,0.06110398417191534
feminine,memies,0,0.0,0.0,0.0,0.0
feminine,memies,2,0.044320345,0.0016225874,0.004765817,0.07923149105180394
feminine,memies,2-3,0.05723965,0.013969988,0.01894493,0.07489659375597
feminine,memies,2-5,0.037266046,0.0133909285,-0.00096564426,0.05509802098780611
feminine,agjijns,0,0.0,0.0,0.0,0.0
feminine,agjijns,2,0.013579786,-0.0013310611,-0.013547942,0.056849865992789905
feminine,agjijns,2-3,0.0108522475,0.0014694333,3.419471e-05,0.05885526788294586
feminine,agjijns,2-5,-0.014787793,-0.026724935,-0.027994746,0.034495569778279854
feminine,drekten,0,0.0,0.0,0.0,0.0
feminine,drekten,2,-0.010631651,0.027337372,-0.03240438,0.07398789352642474
feminine,drekten,2-3,-0.04606104,-0.004193932,-0.041732144,0.044024720238848555
feminine,drekten,2-5,0.009384647,-0.0203778,-0.0142983245,0.04132393778580956
feminine,veraren,0,0.0,0.0,0.0,0.0
feminine,veraren,2,-0.012199879,-0.022666454,-0.033120144,0.08673542663525614
feminine,veraren,2-3,-0.015350074,-0.0067041516,-0.016833475,0.08461840959993702
feminine,veraren,2-5,-0.0074406564,-0.04243642,-0.036487956,0.08624516488254111
feminine,levande,0,0.005222425,0.012790233,0.020365577,0.06633494208993776
feminine,levande,2,0.025206,0.026116043,-0.0033984636,0.04208129339041329
feminine,levande,2-3,0.03820169,-0.009553432,-0.00031551492,0.04915171449963779
feminine,levande,2-5,0.019979894,0.009458274,-0.013638859,0.03800265823428072
feminine,vametictie,0,0.0,0.0,0.0,0.0
feminine,vametictie,2,0.0054525733,0.015363604,-0.013707232,0.09856518702723714
feminine,vametictie,2-3,-0.011346281,-0.010228217,0.008141791,0.09453592091835068
feminine,vametictie,2-5,0.008795321,0.05140677,0.017715733,0.09140608677482703
feminine,lool,0,-0.00025844574,0.021452665,0.01631476,0.07200369857748204
feminine,lool,2,-0.01747927,-0.017318279,-0.00689598,0.06835250479370983
feminine,lool,2-3,0.032295138,-0.015235633,0.003786274,0.07751888654041422
feminine,lool,2-5,0.02740696,-0.0011513829,-0.0033371744,0.04708268924887275
feminine,dilkernis,0,0.0,0.0,0.0,0.0
feminine,dilkernis,2,-0.01151976,0.0069656074,-0.013628087,0.05148115759088458
feminine,dilkernis,2-3,-0.018889427,0.0043326616,-0.018778138,0.05338931239071669
feminine,dilkernis,2-5,-0.02959153,0.01813759,0.00037177943,0.05379096917767149
feminine,aanhoogster,0,0.0,0.0,0.0,0.0
feminine,aanhoogster,2,-0.041930974,0.008874863,-0.030352414,0.0516528761733205
feminine,aanhoogster,2-3,-0.03386423,-0.0060669184,-0.026989976,0.06585377994089116
feminine,aanhoogster,2-5,0.045720458,0.056749463,0.03822801,0.059432975563371994
feminine,kechaam,0,0.0,0.0,0.0,0.0
feminine,kechaam,2,-0.032038093,-0.011567146,-0.009773451,0.04906384077867266
feminine,kechaam,2-3,0.016566545,0.024101526,0.025660785,0.07418010671877809
feminine,kechaam,2-5,0.001977712,0.00078716874,0.0043861163,0.074161457234209
feminine,pratsen,0,0.0,0.0,0.0,0.0
feminine,pratsen,2,-0.009515226,-0.010917276,-0.012844451,0.08190044976229276
feminine,pratsen,2-3,0.022028059,0.009098083,-0.0010463893,0.0760276541743497
feminine,pratsen,2-5,0.040341556,-0.0039716363,-0.024586786,0.04159830101866485
feminine,aanscholden,0,0.0,0.0,0.0,0.0
feminine,aanscholden,2,-0.03625369,-0.008327037,-0.05131967,0.07980647473474282
feminine,aanscholden,2-3,-0.01172775,-0.0051452816,-0.03544983,0.06160588454612399
feminine,aanscholden,2-5,-0.0044504106,-0.023961604,-0.03438492,0.07792112451608443
feminine,diefstem,0,0.0,0.0,0.0,0.0
feminine,diefstem,2,-0.0019965768,0.042318493,0.012463838,0.06702403946199456
feminine,diefstem,2-3,-0.0052469373,0.046678036,0.012345356,0.06586144814559948
feminine,diefstem,2-5,-0.018391594,0.007513106,-0.007087579,0.06013867420276933
feminine,bloegbag,0,0.0,0.0,0.0,0.0
feminine,bloegbag,2,-0.00807327,0.011851162,-0.015350902,0.06813006085881271
feminine,bloegbag,2-3,-0.0018526316,0.021073341,0.020531554,0.056287186883892684
feminine,bloegbag,2-5,0.016672432,0.00025466084,-0.010162783,0.03394034235161971
feminine,epivrijs,0,0.0,0.0,0.0,0.0
feminine,epivrijs,2,0.024147302,0.04167378,-0.00571262,0.056865588627137136
feminine,epivrijs,2-3,-0.019109666,-0.011464253,-0.0077703297,0.041052476755810564
feminine,epivrijs,2-5,-0.021209389,-0.028763264,-0.02327356,0.04108546759174748
feminine,zichtslot,0,0.0,0.0,0.0,0.0
feminine,zichtslot,2,-0.01740712,-0.0054306686,-0.006213898,0.06450764560920422
feminine,zichtslot,2-3,-0.029519767,0.014778674,-0.0024923503,0.043132050378886365
feminine,zichtslot,2-5,-0.008721203,-0.0012814254,-0.018910313,0.050359429731792
feminine,hooitelen,0,0.0,0.0,0.0,0.0
feminine,hooitelen,2,-0.012191534,0.025892854,-0.013657388,0.07977756933421244
feminine,hooitelen,2-3,0.00046166778,0.0157018,-0.01906891,0.05038751354148146
feminine,hooitelen,2-5,0.0191544,0.013639867,-0.0053015617,0.06169068786498953
feminine,plonk,0,-0.00978595,0.0044111013,-0.019351492,0.09990135110341439
feminine,plonk,2,0.012145907,0.00016269088,0.01706921,0.05911761780581341
feminine,plonk,2-3,-0.01146543,0.011384904,-0.007284827,0.06584178265930749
feminine,plonk,2-5,-0.0034108162,0.0054675937,-0.025272114,0.1031195919107118
feminine,limina,0,-0.0054227114,-0.06005469,-0.03346699,0.0433686541818002
feminine,limina,2,0.046319246,0.05051607,0.021965407,0.05584058045271225
feminine,limina,2-3,0.022634149,0.09016892,0.066073686,0.04918760059526959
feminine,limina,2-5,0.0375894,0.0577493,0.045920074,0.06506319028064948
feminine,kibben,0,0.0,0.0,0.0,0.0
feminine,kibben,2,0.016729623,-0.011754572,-0.032209523,0.08484293975934962
feminine,kibben,2-3,0.0003682673,-0.011965275,-0.028847223,0.0685492433250142
feminine,kibben,2-5,-0.06463738,-0.026201129,-0.051317293,0.07033393453677983
feminine,braster,0,0.011417747,-0.030443817,-0.01828147,0.08010638424551157
feminine,braster,2,-0.04987541,-0.024677485,-0.032199886,0.06494340678410593
feminine,braster,2-3,-0.027784467,-0.013882905,-0.01217921,0.06897319008561802
feminine,braster,2-5,0.018387675,0.045425326,0.026823461,0.04005263988053836
feminine,weloliteit,0,0.0,0.0,0.0,0.0
feminine,weloliteit,2,-0.027232856,0.009587944,-0.015334251,0.1209164713842481
feminine,weloliteit,2-3,-0.0025014281,0.022658646,0.00615873,0.13640251370848214
feminine,weloliteit,2-5,0.0025808513,-0.018671513,-0.0067053405,0.13339685464257833
feminine,dondje,0,0.0054318607,-0.00519076,-0.018014334,0.0619480902969953
